iter	RMSE
0	914100.2366
1	906032.7787
2	898127.0041
3	890223.9412
4	882379.5564
5	874695.9435
6	867006.6915
7	859462.104
8	851963.7739
9	844537.4609
10	837112.2506
11	829843.8024
12	822593.7691
13	815459.9691
14	808350.6184
15	801510.8553
16	794594.2016
17	787821.5914
18	781015.7506
19	774282.9969
20	767654.1667
21	761071.2809
22	754524.2388
23	748135.7073
24	741906.0036
25	735702.6802
26	729519.1409
27	723392.8594
28	717300.9556
29	711275.156
30	705421.6156
31	699615.5458
32	693847.4496
33	688117.397
34	682410.6563
35	676857.9283
36	671274.1981
37	665715.4054
38	660269.4533
39	654926.6883
40	649606.9422
41	644326.0785
42	639125.2749
43	633943.0319
44	628828.0976
45	623778.0685
46	618725.6015
47	613698.9132
48	608832.6678
49	603994.7715
50	599184.7261
51	594411.5498
52	589693.3047
53	585095.3425
54	580473.3617
55	575881.32
56	571435.9672
57	566961.7044
58	562484.5572
59	558128.3741
60	553802.961
61	549498.8878
62	545209.3639
63	541007.2703
64	536816.7671
65	532738.5938
66	528673.8781
67	524663.8133
68	520761.3835
69	516864.4345
70	512982.1015
71	509138.3938
72	505334.585
73	501515.1104
74	497813.5549
75	494147.532
76	490487.26
77	486889.013
78	483268.6493
79	479828.714
80	476368.3772
81	472931.2569
82	469562.3001
83	466208.2343
84	462861.0595
85	459510.1692
86	456248.9037
87	453032.1432
88	449851.4459
89	446722.5741
90	443608.3113
91	440511.9628
92	437483.6684
93	434545.9113
94	431595.8573
95	428638.3321
96	425748.869
97	422849.6809
98	419994.8336
99	417128.0175
100	414353.2368
101	411594.2167
102	408906.3837
103	406220.2014
104	403555.3001
105	400913.0727
106	398281.285
107	395695.6799
108	393166.8851
109	390664.397
110	388163.8587
111	385698.2735
112	383274.8793
113	380893.8732
114	378534.9064
115	376221.1342
116	373878.6735
117	371621.4422
118	369380.877
119	367121.2988
120	364920.9411
121	362682.5966
122	360552.8577
123	358423.5165
124	356361.5203
125	354288.2878
126	352226.7919
127	350159.3326
128	348172.336
129	346146.7825
130	344169.6863
131	342214.9135
132	340202.5082
133	338206.9896
134	336333.5144
135	334445.8398
136	332556.3159
137	330659.6178
138	328810.9204
139	327029.0248
140	325274.8612
141	323547.0845
142	321838.8805
143	320144.5959
144	318482.4419
145	316811.8123
146	315204.0724
147	313550.4645
148	311962.5008
149	310338.2929
150	308754.4203
151	307210.9946
152	305667.0271
153	304112.714
154	302601.4824
155	301115.7389
156	299654.3293
157	298213.2005
158	296767.8305
159	295361.2131
160	293954.854
161	292578.4981
162	291196.7484
163	289843.8139
164	288531.9782
165	287220.0864
166	285948.3692
167	284653.7498
168	283366.8797
169	282126.2398
170	280881.0868
171	279584.4279
172	278391.917
173	277159.1375
174	275964.1063
175	274733.3482
176	273570.6816
177	272402.6115
178	271297.8118
179	270205.8044
180	269072.7843
181	268004.034
182	266848.8649
183	265664.4781
184	264634.737
185	263522.6872
186	262450.3817
187	261371.6013
188	260375.28
189	259394.5269
190	258384.9054
191	257434.4789
192	256512.6372
193	255559.2019
194	254621.6697
195	253707.4806
196	252800.5565
197	251917.9082
198	250934.89
199	250047.9971
200	249122.4095
201	248247.6464
202	247433.6033
203	246613.4851
204	245798.3476
205	244993.9495
206	244136.1167
207	243230.6359
208	242440.4837
209	241672.858
210	240852.2844
211	240104.0975
212	239393.589
213	238667.1992
214	237914.3394
215	237220.1228
216	236526.7815
217	235785.9549
218	235064.5467
219	234376.2724
220	233727.1145
221	233059.3039
222	232380.2623
223	231735.0788
224	231125.2003
225	230424.906
226	229804.7879
227	229148.6592
228	228552.5579
229	227857.837
230	227225.8585
231	226617.3246
232	225972.8739
233	225398.5037
234	224832.4795
235	224304.1413
236	223735.9995
237	223202.9469
238	222633.6956
239	222017.9988
240	221497.1484
241	220978.9717
242	220458.2037
243	219925.7278
244	219421.3177
245	218917.6978
246	218403.2523
247	217864.9907
248	217374.4213
249	216881.6411
250	216394.0881
251	215942.1867
252	215360.9414
253	214902.3629
254	214464.775
255	214010.0369
256	213552.4963
257	213108.2572
258	212667.214
259	212152.793
260	211632.166
261	211169.3758
262	210751.4627
263	210354.4487
264	209959.0774
265	209566.6994
266	209184.3252
267	208750.5893
268	208374.0267
269	207955.0577
270	207616.1522
271	207293.482
272	206945.1358
273	206603.7273
274	206252.5262
275	205809.5854
276	205473.871
277	205127.1865
278	204775.5344
279	204468.9825
280	204163.8395
281	203825.4409
282	203517.6399
283	203179.8305
284	202820.927
285	202345.069
286	202024.8244
287	201660.928
288	201351.0955
289	201045.6306
290	200712.5851
291	200401.0171
292	200098.2751
293	199801.0939
294	199518.6089
295	199226.8287
296	198940.1174
297	198681.3937
298	198382.9943
299	198095.4768
300	197802.2511
301	197547.2776
302	197251.7713
303	196984.5066
304	196726.8384
305	196485.3168
306	196247.7153
307	195967.2289
308	195658.251
309	195365.4259
310	195129.6941
311	194911.7272
312	194671.4582
313	194447.7038
314	194136.1633
315	193860.5226
316	193665.6438
317	193387.8963
318	193149.4565
319	192927.619
320	192674.9354
321	192426.7642
322	192168.0804
323	191871.9708
324	191596.5779
325	191375.842
326	191154.9821
327	190903.382
328	190706.6052
329	190496.3892
330	190287.8041
331	190095.1516
332	189913.2133
333	189733.4679
