iter	Passed	Remaining
0	99	99171
1	112	55893
2	123	41018
3	132	33051
4	143	28494
5	152	25238
6	162	23089
7	173	21519
8	182	20139
9	192	19050
10	201	18142
11	212	17477
12	222	16913
13	231	16328
14	241	15859
15	250	15407
16	262	15194
17	271	14830
18	281	14540
19	292	14310
20	304	14205
21	314	13991
22	328	13970
23	337	13738
24	347	13565
25	360	13504
26	370	13351
27	380	13225
28	390	13060
29	399	12920
30	409	12785
31	418	12657
32	427	12531
33	437	12441
34	447	12327
35	459	12294
36	469	12223
37	479	12126
38	488	12040
39	497	11949
40	512	11992
41	524	11972
42	534	11892
43	543	11810
44	554	11765
45	563	11692
46	573	11634
47	583	11566
48	592	11494
49	601	11433
50	610	11366
51	619	11301
52	629	11245
53	638	11187
54	649	11153
55	659	11124
56	669	11083
57	680	11056
58	690	11014
59	699	10961
60	708	10913
61	720	10905
62	731	10873
63	745	10903
64	757	10900
65	767	10859
66	776	10816
67	786	10773
68	795	10729
69	804	10691
70	814	10653
71	823	10617
72	833	10581
73	842	10545
74	855	10554
75	865	10521
76	874	10488
77	884	10457
78	894	10428
79	904	10398
80	913	10362
81	923	10340
82	935	10330
83	950	10366
84	982	10578
85	998	10617
86	1009	10598
87	1019	10562
88	1028	10532
89	1037	10495
90	1046	10457
91	1058	10450
92	1068	10417
93	1077	10386
94	1087	10360
95	1096	10327
96	1106	10297
97	1115	10267
98	1126	10251
99	1138	10243
100	1152	10260
101	1163	10240
102	1173	10218
103	1182	10191
104	1192	10168
105	1202	10142
106	1211	10114
107	1221	10089
108	1230	10060
109	1240	10036
110	1251	10024
111	1262	10008
112	1272	9991
113	1282	9965
114	1292	9944
115	1301	9921
116	1311	9897
117	1321	9874
118	1336	9895
119	1353	9926
120	1365	9918
121	1380	9933
122	1389	9909
123	1399	9889
124	1408	9862
125	1418	9841
126	1428	9816
127	1437	9790
128	1449	9785
129	1458	9762
130	1469	9745
131	1478	9724
132	1488	9704
133	1499	9688
134	1509	9670
135	1519	9652
136	1528	9631
137	1540	9622
138	1552	9617
139	1563	9605
140	1575	9598
141	1586	9586
142	1596	9565
143	1606	9550
144	1616	9530
145	1626	9513
146	1636	9496
147	1648	9487
148	1659	9476
149	1670	9463
150	1679	9443
151	1689	9425
152	1699	9408
153	1710	9394
154	1720	9376
155	1729	9354
156	1739	9338
157	1752	9339
158	1764	9333
159	1774	9315
160	1784	9298
161	1794	9283
162	1804	9267
163	1815	9252
164	1824	9233
165	1835	9222
166	1846	9211
167	1856	9194
168	1868	9186
169	1877	9166
170	1886	9146
171	1896	9127
172	1905	9108
173	1915	9091
174	1925	9076
175	1935	9059
176	1965	9136
177	1980	9147
178	1993	9143
179	2004	9130
180	2016	9123
181	2026	9108
182	2036	9090
183	2046	9075
184	2056	9061
185	2067	9045
186	2077	9030
187	2087	9018
188	2098	9004
189	2107	8985
190	2118	8972
191	2128	8958
192	2138	8940
193	2151	8936
194	2160	8920
195	2172	8911
196	2182	8897
197	2193	8885
198	2203	8869
199	2213	8852
200	2223	8837
201	2232	8820
202	2244	8812
203	2255	8799
204	2264	8782
205	2274	8766
206	2284	8751
207	2294	8736
208	2304	8721
209	2315	8712
210	2324	8693
211	2335	8679
212	2345	8667
213	2355	8651
214	2366	8638
215	2377	8629
216	2388	8619
217	2399	8607
218	2409	8594
219	2418	8576
220	2427	8558
221	2436	8539
222	2448	8531
223	2458	8515
224	2467	8498
225	2476	8481
226	2487	8469
227	2495	8451
228	2505	8434
229	2514	8418
230	2524	8402
231	2533	8387
232	2544	8375
233	2555	8364
234	2564	8348
235	2574	8334
236	2585	8323
237	2595	8310
238	2607	8301
239	2617	8288
240	2627	8274
241	2636	8258
242	2647	8246
243	2656	8230
244	2665	8213
245	2676	8203
246	2686	8191
247	2696	8176
248	2705	8160
249	2714	8143
250	2724	8129
251	2733	8112
252	2745	8104
253	2754	8088
254	2763	8072
255	2773	8060
256	2783	8046
257	2793	8033
258	2804	8022
259	2814	8011
260	2824	7996
261	2834	7983
262	2844	7971
263	2854	7957
264	2864	7943
265	2873	7929
266	2883	7915
267	2892	7901
268	2902	7886
269	2911	7870
270	2919	7853
271	2928	7837
272	2940	7830
273	2969	7867
274	2983	7865
275	2993	7853
276	3004	7842
277	3013	7827
278	3022	7811
279	3033	7799
280	3042	7785
281	3051	7770
282	3060	7755
283	3069	7739
284	3079	7725
285	3089	7711
286	3097	7695
287	3106	7680
288	3115	7664
289	3124	7648
290	3132	7632
291	3142	7620
292	3153	7608
293	3162	7593
294	3170	7577
295	3179	7563
296	3188	7547
297	3200	7538
298	3210	7526
299	3219	7512
300	3228	7497
301	3237	7483
302	3249	7474
303	3259	7461
304	3268	7448
305	3278	7435
306	3287	7421
307	3299	7413
308	3309	7400
309	3318	7386
310	3327	7371
311	3336	7357
312	3346	7345
313	3356	7332
314	3365	7318
315	3374	7304
316	3383	7289
317	3392	7274
318	3401	7262
319	3412	7251
320	3422	7240
321	3432	7227
322	3442	7215
323	3453	7205
324	3462	7190
325	3473	7181
326	3482	7167
327	3492	7155
328	3501	7140
329	3510	7127
330	3519	7113
331	3527	7098
332	3538	7088
333	3547	7073
334	3556	7060
335	3565	7046
336	3574	7032
337	3584	7020
338	3593	7007
339	3604	6996
340	3615	6987
341	3625	6975
342	3637	6968
343	3647	6955
344	3659	6947
345	3668	6934
346	3677	6920
347	3686	6906
348	3695	6892
349	3703	6878
350	3712	6864
351	3720	6849
352	3731	6838
353	3741	6827
354	3751	6816
355	3760	6803
356	3769	6789
357	3778	6775
358	3787	6762
359	3796	6749
360	3809	6743
361	3818	6730
362	3829	6719
363	3838	6705
364	3846	6692
365	3857	6682
366	3867	6670
367	3876	6657
368	3886	6645
369	3895	6632
370	3904	6620
371	3913	6607
372	3923	6595
373	3947	6606
374	3969	6616
375	3979	6603
376	3988	6591
377	3998	6579
378	4006	6565
379	4017	6555
380	4028	6544
381	4037	6532
382	4048	6521
383	4057	6508
384	4067	6496
385	4076	6484
386	4085	6471
387	4095	6459
388	4103	6445
389	4113	6433
390	4121	6419
391	4131	6408
392	4140	6395
393	4149	6382
394	4158	6368
395	4167	6356
396	4176	6343
397	4185	6330
398	4195	6318
399	4204	6306
400	4213	6294
